snapshot_date,snapshot_ts,source,provider,instance_type,instance_family,gpu_name,gpu_variant,gpu_memory_gb,gpu_count,gpu_interconnect,vcpus,ram_gb,storage_desc,network_desc,region,zone,country,geo_group,pricing_type,commitment_period,price_per_hour,price_per_gpu_hour,currency,price_unit,available,available_count,os,tenancy,pre_installed_sw,raw_extra
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g1-gpu-rtx6000-1,,Dedicated 32GB + RTX6000 GPU x1,,0,1,,8,32.0,640 GB,,,,,,on_demand,,1.5,1.5,USD,hour,True,,,,,"{""label"":""Dedicated 32GB + RTX6000 GPU x1"",""monthly"":1000.0,""transfer"":16000,""network_out"":10000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g1-gpu-rtx6000-2,,Dedicated 64GB + RTX6000 GPU x2,,0,2,,16,64.0,1280 GB,,,,,,on_demand,,3.0,1.5,USD,hour,True,,,,,"{""label"":""Dedicated 64GB + RTX6000 GPU x2"",""monthly"":2000.0,""transfer"":20000,""network_out"":10000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g1-gpu-rtx6000-3,,Dedicated 96GB + RTX6000 GPU x3,,0,3,,20,96.0,1920 GB,,,,,,on_demand,,4.5,1.5,USD,hour,True,,,,,"{""label"":""Dedicated 96GB + RTX6000 GPU x3"",""monthly"":3000.0,""transfer"":20000,""network_out"":10000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g1-gpu-rtx6000-4,,Dedicated 128GB + RTX6000 GPU x4,,0,4,,24,128.0,2560 GB,,,,,,on_demand,,6.0,1.5,USD,hour,True,,,,,"{""label"":""Dedicated 128GB + RTX6000 GPU x4"",""monthly"":4000.0,""transfer"":20000,""network_out"":10000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g2-gpu-rtx4000a1-s,,RTX 4000,,20,1,,4,16.0,512 GB,,,,,,on_demand,,0.52,0.52,USD,hour,True,,,,,"{""label"":""RTX4000 Ada x1 Small"",""monthly"":350.0,""transfer"":0,""network_out"":16000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g2-gpu-rtx4000a1-m,,RTX 4000,,20,1,,8,32.0,512 GB,,,,,,on_demand,,0.67,0.67,USD,hour,True,,,,,"{""label"":""RTX4000 Ada x1 Medium"",""monthly"":446.0,""transfer"":0,""network_out"":16000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g2-gpu-rtx4000a1-l,,RTX 4000,,20,1,,16,64.0,512 GB,,,,,,on_demand,,0.96,0.96,USD,hour,True,,,,,"{""label"":""RTX4000 Ada x1 Large"",""monthly"":638.0,""transfer"":0,""network_out"":16000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g2-gpu-rtx4000a1-xl,,RTX 4000,,20,1,,32,128.0,512 GB,,,,,,on_demand,,1.53,1.53,USD,hour,True,,,,,"{""label"":""RTX4000 Ada x1 X-Large"",""monthly"":1022.0,""transfer"":0,""network_out"":16000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g2-gpu-rtx4000a2-s,,RTX 4000,,20,2,,8,32.0,1024 GB,,,,,,on_demand,,1.05,0.525,USD,hour,True,,,,,"{""label"":""RTX4000 Ada x2 Small"",""monthly"":700.0,""transfer"":0,""network_out"":16000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g2-gpu-rtx4000a2-m,,RTX 4000,,20,2,,16,64.0,1024 GB,,,,,,on_demand,,1.34,0.67,USD,hour,True,,,,,"{""label"":""RTX4000 Ada x2 Medium"",""monthly"":892.0,""transfer"":0,""network_out"":16000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g2-gpu-rtx4000a2-hs,,RTX 4000,,20,2,,16,64.0,2048 GB,,,,,,on_demand,,1.49,0.745,USD,hour,True,,,,,"{""label"":""RTX4000 Ada x2 Medium High Storage"",""monthly"":992.0,""transfer"":0,""network_out"":16000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g2-gpu-rtx4000a4-s,,RTX 4000,,20,4,,32,128.0,2048 GB,,,,,,on_demand,,2.96,0.74,USD,hour,True,,,,,"{""label"":""RTX4000 Ada x4 Small"",""monthly"":1976.0,""transfer"":0,""network_out"":16000,""type_class"":""""}"
2026-03-22,2026-03-22T23:57:59Z,linode,linode,g2-gpu-rtx4000a4-m,,RTX 4000,,20,4,,48,196.0,2048 GB,,,,,,on_demand,,3.57,0.8925,USD,hour,True,,,,,"{""label"":""RTX4000 Ada x4 Medium"",""monthly"":2384.0,""transfer"":0,""network_out"":16000,""type_class"":""""}"
