snapshot_date,snapshot_ts,source,provider,instance_type,instance_family,gpu_name,gpu_variant,gpu_memory_gb,gpu_count,gpu_interconnect,vcpus,ram_gb,storage_desc,network_desc,region,zone,country,geo_group,pricing_type,commitment_period,price_per_hour,price_per_gpu_hour,currency,price_unit,available,available_count,os,tenancy,pre_installed_sw,raw_extra
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,gpu_x1,,,,96,1,,16,144,725,,,,,,on_demand,,1.52,1.52,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,gpu_x2,,,,192,2,,30,288,1450,,,,,,on_demand,,3.04,1.52,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,gpu_x4,,,,384,4,,60,576,2900,,,,,,on_demand,,6.08,1.52,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,gpu_x8,,,,768,8,,120,1536,5800,,,,,,on_demand,,12.16,1.52,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H200x1,,H200,,141,1,,16,200,750,,,,,,on_demand,,2.83,2.83,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H200x2,,H200,,282,2,,30,400,1500,,,,,,on_demand,,5.66,2.83,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H200x4,,H200,,564,4,,62,800,3000,,,,,,on_demand,,11.32,2.83,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H200x8,,H200,,1128,8,,120,1760,6000,,,,,,on_demand,,22.64,2.83,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H200x4,,H200,,564,4,,62,800,3000,,,,,,on_demand,,11.56,2.89,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H200x8,,H200,,1128,8,,120,1760,6000,,,,,,on_demand,,23.12,2.89,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x1,,H100,,80,1,,20,128,1250,,,,,,on_demand,,2.4,2.4,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x2,,H100,,160,2,,40,256,2500,,,,,,on_demand,,4.8,2.4,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x4,,H100,,320,4,,64,512,5000,,,,,,on_demand,,9.6,2.4,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x2,,H100,,188,2,,40,256,2500,,,,,,on_demand,,5.16,2.58,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x4,,H100,,376,4,,80,512,5000,,,,,,on_demand,,10.32,2.58,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x8,,H100,,752,8,,140,1500,10000,,,,,,on_demand,,20.64,2.58,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x8,,H100,,640,8,,124,1800,9000,,,,,,on_demand,,22.0,2.75,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x1,,H100,,0,1,,18,128,1250,,,,,,on_demand,,3.11,3.11,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x2,,H100,,0,2,,36,256,2500,,,,,,on_demand,,6.22,3.11,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x4,,H100,,0,4,,72,512,5000,,,,,,on_demand,,12.44,3.11,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,H100x8,,H100,,0,8,,140,1024,10000,,,,,,on_demand,,24.88,3.11,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A100x1,,A100,,80,1,,16,96,512,,,,,,on_demand,,1.25,1.25,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A100x2,,A100,,160,2,,30,150,1024,,,,,,on_demand,,2.5,1.25,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A100x4,,A100,,320,4,,60,300,2048,,,,,,on_demand,,5.0,1.25,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A100x8,,A100,,640,8,,120,768,4096,,,,,,on_demand,,10.0,1.25,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A100x1,,A100,,80,1,,14,100,625,,,,,,on_demand,,1.28,1.28,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A100x8,,A100,,640,8,,126,800,5000,,,,,,on_demand,,10.24,1.28,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A100x1,,A100,,80,1,,16,120,1000,,,,,,on_demand,,1.28,1.28,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A100x8,,A100,,640,8,,120,1800,9000,,,,,,on_demand,,10.24,1.28,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,L40Sx1,,L40S,,48,1,,12,96,625,,,,,,on_demand,,0.88,0.88,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,L40Sx2,,L40S,,96,2,,24,192,1250,,,,,,on_demand,,1.76,0.88,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,L40Sx4,,L40S,,192,4,,46,384,2500,,,,,,on_demand,,3.52,0.88,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,L40Sx8,,L40S,,384,8,,94,768,5000,,,,,,on_demand,,7.04,0.88,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,L40x1,,L40,,48,1,,14,128,625,,,,,,on_demand,,0.84,0.84,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,L40x2,,L40,,96,2,,26,256,1250,,,,,,on_demand,,1.68,0.84,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,L40x4,,L40,,192,4,,50,512,2500,,,,,,on_demand,,3.36,0.84,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,RTX 6000x1,,RTX 6000,,48,1,,12,80,350,,,,,,on_demand,,0.79,0.79,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,RTX 6000x2,,RTX 6000,,96,2,,26,160,700,,,,,,on_demand,,1.58,0.79,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,RTX 6000x4,,RTX 6000,,192,4,,52,320,1400,,,,,,on_demand,,3.16,0.79,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,RTX 6000x8,,RTX 6000,,384,8,,104,640,2800,,,,,,on_demand,,6.32,0.79,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A6000x1,,RTX A6000,,48,1,,6,48,256,,,,,,on_demand,,0.57,0.57,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A6000x2,,RTX A6000,,96,2,,14,96,512,,,,,,on_demand,,1.14,0.57,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A6000x4,,RTX A6000,,192,4,,30,192,1024,,,,,,on_demand,,2.28,0.57,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A6000x8,,RTX A6000,,384,8,,62,384,2048,,,,,,on_demand,,4.56,0.57,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A6000x1,,RTX A6000,,48,1,,6,32,256,,,,,,on_demand,,0.55,0.55,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A6000x2,,RTX A6000,,96,2,,14,48,512,,,,,,on_demand,,1.1,0.55,USD,hour,True,,,,,
2026-03-22,2026-03-22T23:57:07Z,massedcompute,massedcompute,A6000x4,,RTX A6000,,192,4,,30,96,1024,,,,,,on_demand,,2.2,0.55,USD,hour,True,,,,,
