snapshot_date,snapshot_ts,source,provider,instance_type,instance_family,gpu_name,gpu_variant,gpu_memory_gb,gpu_count,gpu_interconnect,vcpus,ram_gb,storage_desc,network_desc,region,zone,country,geo_group,pricing_type,commitment_period,price_per_hour,price_per_gpu_hour,currency,price_unit,available,available_count,os,tenancy,pre_installed_sw,raw_extra
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-v3.2,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-v3.2"",""input_price"":""$0.269 /Mt\u00b7 Cache Read $0.1345 /Mt"",""output_price"":""$0.4 /Mt"",""context_length"":""163,840""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-ocr-2,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-ocr-2"",""input_price"":""$0.03 /Mt"",""output_price"":""$0.03 /Mt"",""context_length"":""8,192""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-v3.2-exp,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-v3.2-exp"",""input_price"":""$0.27 /Mt"",""output_price"":""$0.41 /Mt"",""context_length"":""163,840""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-v3.1-terminus,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-v3.1-terminus"",""input_price"":""$0.27 /Mt\u00b7 Cache Read $0.135 /Mt"",""output_price"":""$1 /Mt"",""context_length"":""131,072""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-v3.1,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-v3.1"",""input_price"":""$0.27 /Mt\u00b7 Cache Read $0.135 /Mt"",""output_price"":""$1 /Mt"",""context_length"":""131,072""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-v3-0324,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-v3-0324"",""input_price"":""$0.27 /Mt\u00b7 Cache Read $0.135 /Mt"",""output_price"":""$1.12 /Mt"",""context_length"":""163,840""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-r1-0528,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-r1-0528"",""input_price"":""$0.7 /Mt\u00b7 Cache Read $0.35 /Mt"",""output_price"":""$2.5 /Mt"",""context_length"":""163,840""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-r1-distill-llama-70b,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-r1-distill-llama-70b"",""input_price"":""$0.8 /Mt"",""output_price"":""$0.8 /Mt"",""context_length"":""8,192""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-prover-v2-671b,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-prover-v2-671b"",""input_price"":""$0.7 /Mt"",""output_price"":""$2.5 /Mt"",""context_length"":""160,000""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-v3-turbo,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-v3-turbo"",""input_price"":""$0.4 /Mt"",""output_price"":""$1.3 /Mt"",""context_length"":""64,000""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,deepseek/deepseek-r1-turbo,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""deepseek/deepseek-r1-turbo"",""input_price"":""$0.7 /Mt"",""output_price"":""$2.5 /Mt"",""context_length"":""64,000""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3.5-27b,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3.5-27b"",""input_price"":""$0.3 /Mt"",""output_price"":""$2.4 /Mt"",""context_length"":""262,144""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3.5-122b-a10b,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3.5-122b-a10b"",""input_price"":""$0.4 /Mt"",""output_price"":""$3.2 /Mt"",""context_length"":""262,144""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3.5-35b-a3b,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3.5-35b-a3b"",""input_price"":""$0.25 /Mt"",""output_price"":""$2 /Mt"",""context_length"":""262,144""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3.5-397b-a17b,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3.5-397b-a17b"",""input_price"":""$0.6 /Mt"",""output_price"":""$3.6 /Mt"",""context_length"":""262,144""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3-coder-next,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3-coder-next"",""input_price"":""$0.2 /Mt"",""output_price"":""$1.5 /Mt"",""context_length"":""262,144""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3-vl-235b-a22b-thinking,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3-vl-235b-a22b-thinking"",""input_price"":""$0.98 /Mt"",""output_price"":""$3.95 /Mt"",""context_length"":""131,072""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3-next-80b-a3b-instruct,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3-next-80b-a3b-instruct"",""input_price"":""$0.15 /Mt"",""output_price"":""$1.5 /Mt"",""context_length"":""131,072""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3-next-80b-a3b-thinking,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3-next-80b-a3b-thinking"",""input_price"":""$0.15 /Mt"",""output_price"":""$1.5 /Mt"",""context_length"":""131,072""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3-vl-235b-a22b-instruct,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3-vl-235b-a22b-instruct"",""input_price"":""$0.3 /Mt"",""output_price"":""$1.5 /Mt"",""context_length"":""131,072""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3-max,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3-max"",""input_price"":""-"",""output_price"":""Tiered pricing"",""context_length"":""262,144""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3-coder-480b-a35b-instruct,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3-coder-480b-a35b-instruct"",""input_price"":""$0.3 /Mt"",""output_price"":""$1.3 /Mt"",""context_length"":""262,144""}"
2026-03-22,2026-03-22T23:34:16Z,novita,novita,qwen/qwen3-coder-30b-a3b-instruct,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model_name"":""qwen/qwen3-coder-30b-a3b-instruct"",""input_price"":""$0.07 /Mt"",""output_price"":""$0.27 /Mt"",""context_length"":""160,000""}"
