snapshot_date,snapshot_ts,source,provider,instance_type,instance_family,gpu_name,gpu_variant,gpu_memory_gb,gpu_count,gpu_interconnect,vcpus,ram_gb,storage_desc,network_desc,region,zone,country,geo_group,pricing_type,commitment_period,price_per_hour,price_per_gpu_hour,currency,price_unit,available,available_count,os,tenancy,pre_installed_sw,raw_extra
2026-03-23,2026-03-23T00:27:20Z,together,together,Llama 4 Maverick,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Llama 4 Maverick"",""input"":""$0.27"",""output"":""$0.85""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,MiniMax M2.5,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""MiniMax M2.5"",""input"":""$0.30$0.06&nbsp;(cached)"",""output"":""$1.20""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Kimi K2.5,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Kimi K2.5"",""input"":""$0.50"",""output"":""$2.80""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,GLM-5,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""GLM-5"",""input"":""$1.00"",""output"":""$3.20""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Llama 3.3 70B,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Llama 3.3 70B"",""input"":""$0.88"",""output"":""$0.88""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Llama 3 8B Instruct Lite,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Llama 3 8B Instruct Lite"",""input"":""$0.10"",""output"":""$0.10""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,DeepSeek-R1-0528,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""DeepSeek-R1-0528"",""input"":""$3.00"",""output"":""$7.00""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,DeepSeek-V3.1,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""DeepSeek-V3.1"",""input"":""$0.60"",""output"":""$1.70""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,gpt-oss-120B,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""gpt-oss-120B"",""input"":""$0.15"",""output"":""$0.60""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Qwen3-Next-80B-A3B-Instruct,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Qwen3-Next-80B-A3B-Instruct"",""input"":""$0.15"",""output"":""$1.50""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Qwen3 235B A22B Instruct 2507 FP8,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Qwen3 235B A22B Instruct 2507 FP8"",""input"":""$0.20"",""output"":""$0.60""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Qwen3 235B A22B Thinking 2507 FP8,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Qwen3 235B A22B Thinking 2507 FP8"",""input"":""$0.65"",""output"":""$3.00""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Qwen2.5 7B Instruct Turbo,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Qwen2.5 7B Instruct Turbo"",""input"":""$0.30"",""output"":""$0.30""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Kimi K2 Instruct,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Kimi K2 Instruct"",""input"":""$1.00"",""output"":""$3.00""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,GLM-4.5-Air,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""GLM-4.5-Air"",""input"":""$0.20"",""output"":""$1.10""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Kimi K2 Thinking,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Kimi K2 Thinking"",""input"":""$1.20"",""output"":""$4.00""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Mistral (7B) Instruct v0.2,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Mistral (7B) Instruct v0.2"",""input"":""$0.20"",""output"":""$0.20""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Mistral Small 3,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Mistral Small 3"",""input"":""$0.10"",""output"":""$0.30""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Gemma 3n E4B Instruct,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Gemma 3n E4B Instruct"",""input"":""$0.02"",""output"":""$0.04""}"
2026-03-23,2026-03-23T00:27:20Z,together,together,Qwen3.5 9B,,,,,,,,,,,,,,,inference,,0,0,USD,token,True,,,,,"{""model"":""Qwen3.5 9B"",""input"":""$0.10"",""output"":""$0.15""}"
