snapshot_date,snapshot_ts,source,provider,instance_type,instance_family,gpu_name,gpu_variant,gpu_memory_gb,gpu_count,gpu_interconnect,vcpus,ram_gb,storage_desc,network_desc,region,zone,country,geo_group,pricing_type,commitment_period,price_per_hour,price_per_gpu_hour,currency,price_unit,available,available_count,os,tenancy,pre_installed_sw,raw_extra
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a16-2c-8g-2vram,,A16,,2,1,,2,8.0,50 GB,,,,,,on_demand,,0.059,0.059,USD,hour,True,,,,,"{""monthly_cost"":43,""locations"":[""ewr"",""ord"",""atl"",""lhr"",""fra"",""sjc"",""nrt"",""sgp"",""blr""],""bandwidth"":1024,""deploy_ondemand"":true}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a16-2c-8g-2vram_preemptible,,A16,,2,1,,2,8.0,50 GB,,,,,,spot,,0.059,0.059,USD,hour,False,,,,,"{""monthly_cost_preemptible"":43,""locations"":[""ewr"",""ord"",""atl"",""lhr"",""fra"",""sjc"",""nrt"",""sgp"",""blr""]}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a100-1c-6g-4vram,,A100,,4,1,,1,6.0,70 GB,,,,,,on_demand,,0.123,0.123,USD,hour,True,,,,,"{""monthly_cost"":90,""locations"":[""ewr"",""fra"",""sjc"",""nrt""],""bandwidth"":1024,""deploy_ondemand"":true}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a100-1c-6g-4vram_preemptible,,A100,,4,1,,1,6.0,70 GB,,,,,,spot,,0.123,0.123,USD,hour,False,,,,,"{""monthly_cost_preemptible"":90,""locations"":[""ewr"",""fra"",""sjc"",""nrt""]}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a16-2c-16g-4vram,,A16,,4,1,,2,16.0,80 GB,,,,,,on_demand,,0.118,0.118,USD,hour,True,,,,,"{""monthly_cost"":86,""locations"":[""ewr"",""ord"",""atl"",""lhr"",""fra"",""sjc"",""nrt"",""sgp"",""blr""],""bandwidth"":2048,""deploy_ondemand"":true}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a16-2c-16g-4vram_preemptible,,A16,,4,1,,2,16.0,80 GB,,,,,,spot,,0.118,0.118,USD,hour,False,,,,,"{""monthly_cost_preemptible"":86,""locations"":[""ewr"",""ord"",""atl"",""lhr"",""fra"",""sjc"",""nrt"",""sgp"",""blr""]}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a40-1c-5g-2vram,,A40,,2,1,,1,5.0,90 GB,,,,,,on_demand,,0.075,0.075,USD,hour,True,,,,,"{""monthly_cost"":55,""locations"":[""ewr"",""lax"",""lhr"",""fra"",""nrt"",""blr""],""bandwidth"":3072,""deploy_ondemand"":true}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a40-1c-5g-2vram_preemptible,,A40,,2,1,,1,5.0,90 GB,,,,,,spot,,0.075,0.075,USD,hour,False,,,,,"{""monthly_cost_preemptible"":55,""locations"":[""ewr"",""lax"",""lhr"",""fra"",""nrt"",""blr""]}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a100-1c-12g-8vram,,A100,,8,1,,1,12.0,140 GB,,,,,,on_demand,,0.247,0.247,USD,hour,True,,,,,"{""monthly_cost"":180,""locations"":[""ewr"",""nrt"",""blr""],""bandwidth"":1024,""deploy_ondemand"":true}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a100-1c-12g-8vram_preemptible,,A100,,8,1,,1,12.0,140 GB,,,,,,spot,,0.247,0.247,USD,hour,False,,,,,"{""monthly_cost_preemptible"":180,""locations"":[""ewr"",""nrt"",""blr""]}"
2026-03-22,2026-03-22T23:41:06Z,vultr,vultr,vcg-a100-2c-15g-10vram,,A100,,10,1,,2,15.0,170 GB,,,,,,on_demand,,0.342,0.342,USD,hour,True,,,,,"{""monthly_cost"":250,""locations"":[""ewr"",""nrt"",""blr""],""bandwidth"":2048,""deploy_ondemand"":true}"
